Number_Trees,Precision,Recall,F1_Score
3,88.89,89.68,89.28
4,95.24,95.24,95.24
5,91.67,90.48,91.07
6,91.67,90.48,91.07
7,91.67,90.48,91.07
8,91.67,90.48,91.07
9,91.67,90.48,91.07
10,91.67,90.48,91.07
11,91.67,90.48,91.07
12,91.67,90.48,91.07
13,95.24,95.24,95.24
14,95.24,95.24,95.24
15,95.24,95.24,95.24
16,95.24,95.24,95.24
17,95.24,95.24,95.24
18,95.24,95.24,95.24
19,95.24,95.24,95.24
20,95.24,95.24,95.24
